"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 19:43:51 GMT 2025","Tue Jul 22 19:43:53 GMT 2025","1333","LMS system","Authentication","Registration","","","Navigation from registration page to login page",""
"passed","Tue Jul 22 19:43:58 GMT 2025","Tue Jul 22 19:44:01 GMT 2025","2658","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jul 22 19:43:55 GMT 2025","Tue Jul 22 19:43:57 GMT 2025","2820","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jul 22 19:43:45 GMT 2025","Tue Jul 22 19:43:47 GMT 2025","2065","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jul 22 19:43:50 GMT 2025","Tue Jul 22 19:43:51 GMT 2025","1533","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jul 22 19:43:48 GMT 2025","Tue Jul 22 19:43:49 GMT 2025","1559","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jul 22 19:43:57 GMT 2025","Tue Jul 22 19:43:59 GMT 2025","1869","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jul 22 19:43:45 GMT 2025","Tue Jul 22 19:43:47 GMT 2025","2040","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jul 22 19:43:51 GMT 2025","Tue Jul 22 19:43:53 GMT 2025","1634","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jul 22 19:43:48 GMT 2025","Tue Jul 22 19:43:51 GMT 2025","3141","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jul 22 19:43:55 GMT 2025","Tue Jul 22 19:43:56 GMT 2025","1497","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
